x, y, AP1, AP2, AP3, AP4
0,0,-39.91,-62.21,-54.6,-59.36
1,0,-46.39,-55.23,-50.78,-60.76
2,0,-48.33,-54.62,-65.44,-62.5
3,0,-50.75,-50.42,-57.83,-55.53
4,0,-53.15,-48.08,-61.73,-55.33
5,0,-58.86,-39.89,-66.84,-59.55
0,1,-52.7,-62.82,-53.33,-60.71
1,1,-45.98,-57.17,-54.06,-59.92
2,1,-48.88,-75.89,-69.65,-62.23
3,1,-50.21,-53.18,-51.08,-55.43
4,1,-63.63,-47.83,-70.93,-53.79
5,1,-58.13,-49.63,-57.26,-64.6
0,2,-52.55,-59.55,-50.77,-55.78
1,2,-53.67,-55.71,-50.86,-54.49
2,2,-49.64,-53.43,-53.71,-62.29
3,2,-49.83,-51.35,-55.8,-56.54
4,2,-58.05,-53.14,-60.28,-54.34
5,2,-65.49,-48.66,-56.01,-55.21
0,3,-55.52,-58.07,-57.74,-64.71
1,3,-62.28,-54.3,-52.95,-52.35
2,3,-59.96,-61.47,-52.93,-54.02
3,3,-54.66,-53.99,-52.26,-50.43
4,3,-59.31,-56.42,-56.91,-61.73
5,3,-61.05,-51.36,-57.13,-49.06
0,4,-52.4,-55.56,-50.56,-56.43
1,4,-53.21,-56.92,-45.42,-56.4
2,4,-55.27,-56.54,-51.48,-54.44
3,4,-55.17,-53.4,-55.13,-51.22
4,4,-60.08,-57.02,-54.01,-45.16
5,4,-54.32,-61.45,-54.53,-49.92
0,5,-54.38,-52.8,-41.0,-58.89
1,5,-57.24,-63.6,-44.08,-55.77
2,5,-54.42,-65.23,-48.76,-54.41
3,5,-57.33,-56.16,-51.45,-50.18
4,5,-60.06,-59.08,-54.78,-47.31
5,5,-53.47,-54.83,-54.41,-39.51
Waktu : 104.30400466918945
