x,y,AP 1,AP 2,AP 3,AP 4
0,0,-42.41,-64.71,-57.1,-61.86
1,0,-48.89,-57.73,-53.27,-63.26
2,0,-50.83,-57.12,-67.94,-65
3,0,-53.25,-52.92,-60.33,-58.03
4,0,-55.64,-50.58,-64.22,-57.83
5,0,-61.36,-42.39,-69.34,-62.05
0,1,-55.2,-65.32,-55.83,-63.21
1,1,-48.48,-59.66,-56.56,-62.42
2,1,-51.38,-78.39,-72.15,-64.73
3,1,-52.71,-55.68,-53.58,-57.92
4,1,-66.12,-50.33,-73.43,-56.28
5,1,-60.63,-52.13,-59.76,-67.1
0,2,-55.05,-62.05,-53.26,-58.28
1,2,-56.17,-58.21,-53.36,-56.99
2,2,-52.14,-55.93,-56.21,-64.78
3,2,-52.33,-53.85,-58.3,-59.04
4,2,-60.55,-55.64,-62.78,-56.84
5,2,-67.99,-51.16,-58.51,-57.71
0,3,-58.01,-60.56,-60.24,-67.21
1,3,-64.78,-56.8,-55.45,-54.85
2,3,-62.46,-63.97,-55.43,-56.51
3,3,-57.16,-56.49,-54.76,-52.93
4,3,-61.81,-58.92,-59.41,-64.23
5,3,-63.55,-53.86,-59.63,-51.56
0,4,-54.9,-58.06,-53.06,-58.93
1,4,-55.71,-59.42,-47.92,-58.9
2,4,-57.77,-59.04,-53.98,-56.94
3,4,-57.67,-55.9,-57.63,-53.72
4,4,-62.58,-59.51,-56.51,-47.66
5,4,-56.82,-63.95,-57.03,-52.42
0,5,-56.87,-55.3,-43.5,-61.38
1,5,-59.74,-66.1,-46.57,-58.27
2,5,-56.92,-67.73,-51.26,-56.91
3,5,-59.83,-58.66,-53.95,-52.68
4,5,-62.56,-61.58,-57.28,-49.8
5,5,-55.97,-57.33,-56.91,-42
