x, y, AP1, AP2, AP3, AP4
0,0,-42.3961,-52.603,-53.3357,-56.7237
1,0,-47.9566,-50.6222,-50.139,-68.3509
2,0,-46.2191,-61.4497,-77.588,-54.8004
3,0,-48.685,-55.0405,-53.1906,-54.9924
4,0,-48.0966,-52.973,-64.8977,-55.1101
5,0,-53.3309,-41.4929,-63.1355,-57.1711
0,1,-55.8372,-56.7666,-53.611,-62.6598
1,1,-45.5407,-51.8567,-57.4426,-59.0295
2,1,-47.8365,-66.3423,-58.3993,-62.6931
3,1,-47.2988,-49.6122,-50.441,-51.3578
4,1,-65.9289,-49.4516,-56.8639,-52.6019
5,1,-50.0902,-50.3038,-57.8489,-53.3757
0,2,-47.3258,-54.648,-48.0375,-50.8344
1,2,-51.1569,-53.3471,-53.822,-57.4477
2,2,-45.0182,-47.6723,-50.8363,-57.4737
3,2,-48.5412,-50.7685,-54.4258,-55.7405
4,2,-54.7937,-48.8945,-68.2851,-52.2585
5,2,-61.2199,-46.9713,-50.0559,-53.5676
0,3,-52.813,-50.9574,-50.3853,-61.185
1,3,-60.9795,-50.1153,-55.3489,-49.0442
2,3,-54.0477,-56.9168,-48.758,-56.3973
3,3,-55.0877,-50.1268,-52.8175,-44.8027
4,3,-58.266,-53.6362,-53.4683,-57.3423
5,3,-61.4814,-48.3958,-47.5896,-44.4043
0,4,-47.4851,-66.0098,-54.2767,-52.7285
1,4,-50.8434,-63.4744,-46.2622,-52.3671
2,4,-52.6624,-64.5481,-52.1432,-56.1795
3,4,-53.8712,-51.2568,-53.1344,-48.5303
4,4,-67.0297,-64.4345,-47.9543,-46.5007
5,4,-56.7932,-57.6627,-51.1305,-59.368
0,5,-49.2359,-52.6655,-43.2682,-52.072
1,5,-50.9341,-72.0864,-45.466,-50.3745
2,5,-49.9198,-65.3547,-44.775,-51.9901
3,5,-50.45,-52.5533,-48.07,-48.906
4,5,-53.1583,-58.8459,-50.2505,-46.932
5,5,-51.8721,-56.5362,-52.1642,-40.7465
