x, y, AP1, AP2, AP3, AP4
0,0,-39.41,-55.59,-56.44,-60.22
1,0,-46.82,-53.82,-51.27,-66.28
2,0,-49,-64.88,-78.83,-56.65
3,0,-52.2,-57.26,-56.42,-58.28
4,0,-51.47,-49.53,-64.79,-56.95
5,0,-56.74,-39.12,-66.15,-60.66
0,1,-54.59,-59.8,-55.23,-60.79
1,1,-46.57,-55.23,-55.91,-62.38
2,1,-48.29,-69.86,-60.38,-66.19
3,1,-48.37,-53.13,-50.34,-54.83
4,1,-69.18,-50.64,-60.23,-54.81
5,1,-52.94,-49.66,-55.55,-54.67
0,2,-50.73,-57.25,-50.99,-53.51
1,2,-54.45,-56.39,-51.12,-55.81
2,2,-48.49,-49.97,-52.01,-58
3,2,-50.3,-54.25,-53.71,-58.55
4,2,-56.57,-49.07,-71.74,-55.34
5,2,-62.45,-50.17,-52.51,-57.09
0,3,-55.8,-54.44,-53.89,-62.82
1,3,-64.29,-51.76,-53.77,-51.31
2,3,-57.45,-57.54,-52.25,-59.26
3,3,-52.57,-53.57,-54.89,-48.19
4,3,-57.68,-54.35,-56.64,-60.85
5,3,-64.95,-51.12,-50.66,-47.85
0,4,-48.77,-66.1,-54.54,-54.41
1,4,-53.09,-65.08,-46.13,-54.6
2,4,-56.17,-63.67,-54.97,-54.34
3,4,-54.55,-54.52,-55.89,-48.78
4,4,-65.64,-67.91,-51.46,-46.81
5,4,-55.6,-60.43,-53.28,-57.04
0,5,-51.95,-55.92,-39.92,-55.44
1,5,-54.24,-70.55,-42.3,-52.95
2,5,-53.17,-68.46,-48.15,-54.64
3,5,-53.54,-55.68,-51.59,-50.98
4,5,-53.84,-61.56,-52.99,-45.78
5,5,-55.04,-59.17,-55.68,-38.69
