x,y,x_predic,y_predic,,
0,0,2,1,2.236067977,2.112268181
0.5,0.5,3,0,2.549509757,
1,1,5,1,4,
1.5,1.5,0,3,2.121320344,
2,2,0,1,2.236067977,
2.5,2.5,5,1,2.915475947,
3,3,3,5,2,
3.5,3.5,3,4,0.707106781,
4,4,3,3,1.414213562,
4.5,4.5,4,5,0.707106781,
5,5,5,5,0,
5,0,5,0,0,
4.5,0.5,5,1,0.707106781,
4,1,5,1,1,
3.5,1.5,5,1,1.58113883,
3,2,2,2,1,
2.5,2.5,5,1,2.915475947,
2,3,3,2,1.414213562,
1.5,3.5,1,2,1.58113883,
1,4,3,1,3.605551275,
0.5,4.5,3,5,2.549509757,
0,5,0,5,0,
2.5,0,0,4,4.716990566,
2.5,0.5,3,1,0.707106781,
2.5,1,4,0,1.802775638,
2.5,1.5,5,1,2.549509757,
2.5,2,5,1,2.692582404,
2.5,2.5,5,1,2.915475947,
2.5,3,4,0,3.354101966,
2.5,3.5,0,2,2.915475947,
2.5,4,1,2,2.5,
2.5,4.5,1,2,2.915475947,
2.5,5,4,3,2.5,
0,2.5,0,3,0.5,
0.5,2.5,0,3,0.707106781,
1,2.5,5,4,4.272001873,
1.5,2.5,4,3,2.549509757,
2,2.5,4,1,2.5,
2.5,2.5,5,1,2.915475947,
3,2.5,3,5,2.5,
3.5,2.5,3,4,1.58113883,
4,2.5,3,4,1.802775638,
4.5,2.5,5,1,1.58113883,
5,2.5,0,1,5.220153254,
