x, y, AP1, AP2, AP3, AP4
0,0,-39.84,-55.56,-53.59,-64.28
1,0,-44.76,-53.4,-51.1,-57.1
2,0,-47.25,-60.61,-61.68,-54.66
3,0,-51.56,-54.42,-60.36,-67.32
4,0,-51.83,-49.88,-55.69,-57.88
5,0,-55.01,-39.12,-59.22,-54.81
0,1,-55.09,-62.42,-54.98,-63.9
1,1,-46.19,-54.79,-58.72,-61.45
2,1,-46.92,-65.62,-61.05,-60.57
3,1,-47.81,-53.36,-51.86,-61.98
4,1,-62.64,-52.23,-57.29,-52.33
5,1,-52.06,-49.39,-54.7,-54.73
0,2,-47.79,-50.86,-50.67,-55.1
1,2,-53.84,-51.99,-54.94,-62.25
2,2,-48.29,-49.96,-52.75,-63.09
3,2,-49.9,-55.58,-53.29,-62.74
4,2,-56.15,-48.51,-62.14,-58.88
5,2,-56.55,-47.59,-51.45,-61.66
0,3,-54.99,-55.57,-49.93,-59.83
1,3,-57.36,-52.14,-55.95,-49.51
2,3,-57.14,-54.94,-53.39,-70.27
3,3,-54.36,-52.19,-55.94,-47.82
4,3,-58.71,-51.94,-52.05,-55.62
5,3,-62.87,-50.85,-50.16,-46.84
0,4,-49.97,-60.62,-54.56,-55.07
1,4,-54.72,-64.46,-46.74,-54.11
2,4,-55.81,-59.93,-61.96,-54.36
3,4,-55.07,-59.73,-56.12,-52.03
4,4,-77.47,-77.38,-51.22,-48.06
5,4,-58.99,-58.06,-53.86,-59.25
0,5,-52.19,-57.6,-40.12,-52.41
1,5,-57.63,-66.62,-42.2,-56.2
2,5,-54.56,-69.42,-48.09,-53.14
3,5,-53.18,-58.06,-49.22,-49.86
4,5,-52.85,-57.24,-53.66,-44.67
5,5,-54.03,-63.41,-49.63,-38.87
Waktu : 285.9069736003876
