x, y, AP1, AP2, AP3, AP4
0,0,-29.76,-60.22,-53.61,-55.05
1,0,-35.86,-55.5,-43.71,-53.28
2,0,-36.9,-45.65,-53.61,-52.68
3,0,-48.87,-37.68,-54.31,-49.1
4,0,-51.42,-34.2,-58.2,-46.49
5,0,-56.07,-26.87,-59.21,-59.35
0,1,-35.33,-49.82,-45.6,-56.83
1,1,-36.77,-53.41,-44.68,-50.92
2,1,-42.56,-60.3,-61.84,-53.15
3,1,-44.53,-77.89,-45.86,-52.31
4,1,-56.84,-34.93,-59.33,-44.18
5,1,-48.79,-36.78,-53.74,-50.72
0,2,-40.0,-53.01,-55.96,-57.23
1,2,-69.92,-44.84,-50.96,-49.89
2,2,-45.98,-48.69,-57.0,-55.51
3,2,-45.51,-45.62,-53.18,-51.01
4,2,-51.37,-44.77,-49.72,-53.3
5,2,-56.1,-37.5,-57.1,-48.59
0,3,-49.54,-55.26,-41.01,-62.02
1,3,-57.76,-46.39,-43.15,-50.02
2,3,-52.99,-57.42,-47.26,-48.87
3,3,-58.72,-48.53,-47.67,-46.36
4,3,-51.88,-59.16,-45.42,-49.92
5,3,-52.01,-62.19,-50.48,-38.12
0,4,-45.07,-57.54,-36.78,-46.99
1,4,-44.74,-49.38,-36.53,-53.19
2,4,-50.64,-45.76,-48.6,-51.91
3,4,-47.02,-50.75,-55.25,-43.34
4,4,-55.82,-47.48,-50.23,-34.08
5,4,-55.49,-50.92,-46.13,-34.69
0,5,-51.47,-48.61,-30.29,-59.28
1,5,-47.89,-55.23,-32.74,-61.12
2,5,-50.06,-53.67,-37.13,-57.4
3,5,-52.9,-62.01,-45.62,-37.56
4,5,-67.98,-48.24,-53.5,-35.74
5,5,-48.39,-51.9,-53.08,-26.83
Waktu : 19448.036137342453
