x,y,AP 1,AP 2,AP 3,AP 4
0,0,-43,-66.23809524,-61.04761905,-61.0952381
0.5,0.5,-50.72222222,-57.55555556,-55.05555556,-57.44444444
1,1,-50.04761905,-52.66666667,-59.47619048,-53.76190476
1.5,1.5,-53.45,-53.55,-53.75,-61.8
2,2,-51.52631579,-60,-54.47368421,-60
2.5,2.5,-54.31578947,-50.73684211,-51.94736842,-56.36842105
3,3,-54.3,-55.55,-50.7,-50.2
3.5,3.5,-58.85714286,-53.47619048,-55.85714286,-47.33333333
4,4,-50.66666667,-58.80952381,-55.9047619,-48.9047619
4.5,4.5,-54.40909091,-66.5,-56.68181818,-43.22727273
5,5,-61.71428571,-63,-66.28571429,-38.04761905
5,0,-51.95238095,-38.47619048,-56.47619048,-58.95238095
4.5,0.5,-54.4,-42.8,-59.85,-53
4,1,-53.63157895,-45.68421053,-54.47368421,-57.52631579
3.5,1.5,-52.68421053,-46.94736842,-56.89473684,-51.05263158
3,2,-50.25,-48.5,-55.25,-62.85
2.5,2.5,-54,-51.05263158,-53.36842105,-56.73684211
2,3,-52.42105263,-52.78947368,-50.52631579,-58.89473684
1.5,3.5,-53.9375,-55.4375,-54.25,-56.1875
1,4,-50.78947368,-51.26315789,-47.31578947,-53.63157895
0.5,4.5,-54.9047619,-57.9047619,-50.61904762,-51.28571429
0,5,-57.125,-53.75,-42.125,-56.0625
2.5,0,-48.94117647,-63.47058824,-51.70588235,-55.23529412
2.5,0.5,-47.94444444,-54.77777778,-53.72222222,-55.11111111
2.5,1,-49.88235294,-49.94117647,-64.11764706,-59.47058824
2.5,1.5,-50.35294118,-48.88235294,-56.41176471,-54.88235294
2.5,2,-54.94117647,-53.82352941,-56.94117647,-53.58823529
2.5,2.5,-53.63157895,-50.89473684,-53.26315789,-56.68421053
2.5,3,-50.17647059,-52.05882353,-60.47058824,-59.58823529
2.5,3.5,-51.85,-57.6,-49,-50.75
2.5,4,-57.83333333,-59.05555556,-48.83333333,-53.72222222
2.5,4.5,-56.63157895,-54.42105263,-52.10526316,-57.31578947
2.5,5,-54.21052632,-52.68421053,-58.21052632,-62.94117647
0,2.5,-57.05882353,-58.64705882,-51.88235294,-65.05882353
0.5,2.5,-55.11111111,-54.11111111,-50.72222222,-67.77777778
1,2.5,-49.64705882,-62.70588235,-50.70588235,-59.64705882
1.5,2.5,-62.2,-55.9,-54.95,-59.45
2,2.5,-62.42105263,-51.78947368,-59.94736842,-54.78947368
2.5,2.5,-55,-51.38888889,-54,-58.61111111
3,2.5,-51.94444444,-54.5,-54.94444444,-52.44444444
3.5,2.5,-57.14285714,-52.23809524,-61.0952381,-50.42857143
4,2.5,-55.42105263,-53.31578947,-60.21052632,-51.31578947
4.5,2.5,-50.42105263,-52.05263158,-53.89473684,-53.10526316
5,2.5,-50.72222222,-60.55555556,-48.88888889,-60.61111111
