x,y,x_predic,y_predic,,
0,0,2,1,2.236067977,1.503946199
0.5,0.5,3,1,2.549509757,
1,1,3,2,2.236067977,
1.5,1.5,2,4,2.549509757,
2,2,3,1,1.414213562,
2.5,2.5,2,4,1.58113883,
3,3,2,3,1,
3.5,3.5,3,3,0.707106781,
4,4,3,3,1.414213562,
4.5,4.5,3,5,1.58113883,
5,5,4,5,1,
5,0,4,0,1,
4.5,0.5,4,0,0.707106781,
4,1,4,2,1,
3.5,1.5,3,2,0.707106781,
3,2,4,2,1,
2.5,2.5,2,4,1.58113883,
2,3,2,4,1,
1.5,3.5,2,3,0.707106781,
1,4,1,2,2,
0.5,4.5,2,3,2.121320344,
0,5,0,3,2,
2.5,0,3,1,1.118033989,
2.5,0.5,3,1,0.707106781,
2.5,1,2,0,1.118033989,
2.5,1.5,3,2,0.707106781,
2.5,2,3,2,0.5,
2.5,2.5,2,4,1.58113883,
2.5,3,4,2,1.802775638,
2.5,3.5,3,1,2.549509757,
2.5,4,4,3,1.802775638,
2.5,4.5,2,3,1.58113883,
2.5,5,4,2,3.354101966,
0,2.5,4,3,4.031128874,
0.5,2.5,2,5,2.915475947,
1,2.5,3,1,2.5,
1.5,2.5,2,3,0.707106781,
2,2.5,2,3,0.5,
2.5,2.5,2,4,1.58113883,
3,2.5,3,2,0.5,
3.5,2.5,3,3,0.707106781,
4,2.5,3,3,1.118033989,
4.5,2.5,3,2,1.58113883,
5,2.5,4,3,1.118033989,
