x,y,x_predic,y_predic,,
0,0,2,1,2.236067977,1.603374514
0.5,0.5,2,1,1.58113883,
1,1,3,4,3.605551275,
1.5,1.5,2,4,2.549509757,
2,2,2,1,1,
2.5,2.5,4,2,1.58113883,
3,3,2,3,1,
3.5,3.5,4,5,1.58113883,
4,4,3,4,1,
4.5,4.5,4,4,0.707106781,
5,5,4,5,1,
5,0,5,0,0,
4.5,0.5,4,0,0.707106781,
4,1,1,2,3.16227766,
3.5,1.5,3,2,0.707106781,
3,2,2,4,2.236067977,
2.5,2.5,4,2,1.58113883,
2,3,2,4,1,
1.5,3.5,2,1,2.549509757,
1,4,2,3,1.414213562,
0.5,4.5,2,3,2.121320344,
0,5,1,4,1.414213562,
2.5,0,2,1,1.118033989,
2.5,0.5,4,2,2.121320344,
2.5,1,2,4,3.041381265,
2.5,1.5,4,2,1.58113883,
2.5,2,2,1,1.118033989,
2.5,2.5,4,2,1.58113883,
2.5,3,2,4,1.118033989,
2.5,3.5,2,3,0.707106781,
2.5,4,4,3,1.802775638,
2.5,4.5,2,3,1.58113883,
2.5,5,2,4,1.118033989,
0,2.5,2,4,2.5,
0.5,2.5,2,4,2.121320344,
1,2.5,2,1,1.802775638,
1.5,2.5,2,3,0.707106781,
2,2.5,4,5,3.201562119,
2.5,2.5,2,4,1.58113883,
3,2.5,2,1,1.802775638,
3.5,2.5,3,4,1.58113883,
4,2.5,3,4,1.802775638,
4.5,2.5,4,2,0.707106781,
5,2.5,4,3,1.118033989,
