x, y, AP1, AP2, AP3, AP4
0,0,-30.13,-51.82,-67.4,-59.55
1,0,-39.94,-59.93,-45.13,-64.26
2,0,-43.28,-50.66,-67.17,-55.75
3,0,-60.88,-43.86,-54.58,-55.22
4,0,-54.04,-38.69,-61.25,-53.38
5,0,-59.85,-30.41,-59.82,-57.66
0,1,-39.48,-52.22,-47.45,-65.56
1,1,-38.44,-53.3,-46.88,-54.96
2,1,-48.39,-60.81,-60.04,-54.55
3,1,-46.75,-57.77,-50.79,-57.33
4,1,-58.44,-38.67,-50.7,-49.67
5,1,-51.9,-39.58,-69.82,-47.76
0,2,-42.78,-54.72,-64.47,-51.9
1,2,-53.25,-49.28,-50.0,-53.68
2,2,-47.24,-49.23,-50.13,-53.3
3,2,-50.73,-51.28,-56.75,-51.64
4,2,-52.79,-47.31,-54.69,-58.94
5,2,-57.01,-43.31,-54.12,-47.64
0,3,-50.87,-50.89,-42.51,-56.75
1,3,-56.61,-47.88,-47.09,-54.39
2,3,-59.22,-53.57,-53.14,-54.28
3,3,-53.1,-51.79,-56.42,-47.59
4,3,-54.77,-58.22,-46.42,-58.81
5,3,-59.09,-53.39,-49.56,-41.63
0,4,-44.76,-59.31,-41.44,-46.39
1,4,-51.56,-55.62,-39.69,-61.4
2,4,-53.94,-49.6,-53.49,-57.54
3,4,-49.99,-55.37,-62.11,-45.69
4,4,-55.04,-57.83,-55.01,-38.52
5,4,-64.38,-49.76,-52.21,-38.54
0,5,-55.51,-54.55,-30.43,-58.78
1,5,-47.64,-75.97,-36.1,-60.0
2,5,-54.32,-61.78,-43.87,-66.62
3,5,-55.46,-66.71,-49.24,-42.76
4,5,-61.43,-53.13,-60.84,-38.53
5,5,-53.03,-53.07,-57.69,-30.7
Waktu : 28787.581645727158
